FUA code,FUA name,FUA-code,X,Y,C_urban woody feature_FUA_%
HU017,Dunaújváros,HU017,18.8493996,46.9146996,14.773808293
HU018,Zalaegerszeg,HU018,16.8278008,46.7865982,46.822081381
HU019,Sopron,HU019,16.7668991,47.5943985,35.276575079
IE001,Dublin,IE001,-6.5868502,53.3059006,16.215362976
IE002,Cork,IE002,-8.50352,51.9292984,14.937295495
IE003,Limerick,IE003,-8.5501604,52.6195984,19.138114305
IE004,Galway,IE004,-8.9721498,53.2910004,15.329443333
IE005,Waterford,IE005,-7.2061801,52.2717018,17.845886791
IS001,Reykjavík,IS001,-21.0816002,64.4441986,1.558057114
IT001,Roma,*,12.6086998,41.9679985,45.767723553
IT002,Milano,*,9.1906099,45.4424019,14.798454609
IT003,Napoli,IT003,14.3487997,40.8647995,41.552469670
IT004,Torino,IT004,7.6510801,45.0839005,33.586801209
IT005,Palermo,IT005,13.2947998,37.9970016,29.541298184
IT006,Genova,IT006,8.9545097,44.5079002,79.589473142
IT007,Firenze,*,11.3322001,43.7612991,68.840181843
IT008,Bari,*,16.7576008,41.0304985,58.544522177
IT009,Bologna,*,11.3787003,44.4888992,29.513211890
IT010,Catania,*,15.0134001,37.5250015,39.297222961
IT011,Venezia,IT011,12.2354002,45.4416008,11.383408271
IT012,Verona,IT012,10.9743004,45.4333,24.793093247
IT013,Cremona,IT013,10.0612001,45.1520996,6.113526710
IT014,Trento,IT014,11.1752005,46.0831985,76.709298192
IT015,Trieste,IT015,13.7643003,45.6901016,59.846024862
IT016,Perugia,IT016,12.3374004,43.0876999,36.724180897
IT017,Ancona,IT017,13.4434996,43.5500984,13.211840508
IT019,Pescara,IT019,14.1686001,42.4445992,30.991357024
IT020,Campobasso,IT020,14.7110996,41.5718002,39.622671039
IT021,Caserta,IT021,14.3492002,41.0942001,44.255373030
IT022,Taranto,IT022,17.3083992,40.4934998,30.902125491
IT023,Potenza,IT023,15.8484001,40.6394997,47.048928364
IT024,Catanzaro,IT024,16.5695,38.9492989,67.207495369
IT025,Reggio di Calabria,IT025,15.7321997,38.1040001,49.863543614
IT026,Sassari,IT026,8.4819698,40.7247009,27.293733415
IT027,Cagliari,IT027,9.0911598,39.3120995,32.814173147
IT028,Padova,IT028,11.8766003,45.3804016,10.516593078
IT029,Brescia,IT029,10.1912003,45.5228996,25.327396321
IT030,Modena,*,10.9689999,44.6562996,12.787940333
IT031,Foggia,*,15.5036001,41.4037018,7.249141974
IT032,Salerno,*,14.8613997,40.7114983,69.260857815
IT033,Piacenza,IT033,9.66745,44.9632988,16.544701437
IT034,Bolzano,IT034,11.3901997,46.5461998,73.529860926
IT035,Udine,IT035,13.2153997,46.0824013,25.000807023
IT036,La Spezia,IT036,9.8693399,44.1542015,75.725035183
IT037,Lecce,IT037,18.1713009,40.3554993,42.656589143
IT038,Barletta,*,16.2171001,41.2896004,44.595396176
IT039,Pesaro,IT039,12.8298998,43.8644981,23.017049334
IT040,Como,IT040,9.1092596,45.8333015,63.088430747
IT041,Pisa,*,10.4057999,43.7090988,35.651075989
IT042,Treviso,IT042,12.2257004,45.6744995,11.915470148
IT043,Varese,IT043,8.8176603,45.8375015,62.591129813
IT045,Asti,IT045,8.2105598,44.9233017,46.047583929
IT046,Pavia,IT046,9.1619501,45.160099,14.801675156
IT047,Massa,IT047,10.1624002,44.0479012,60.428855490
IT048,Cosenza,IT048,16.3630009,39.2887001,75.015016944
IT052,Savona,IT052,8.4314804,44.3522987,85.433437353
